ID,OBJECTID_1,Label,Row,PointLabel,x,y,RowNUM,one,Plbsac,type,LBC.1,LBCeq,pH.2,Ca,K,Mg,Mn,P,Zn,geometry
240472,37,37,D,37D,-83.73334868,32.43549584,0,1,46,SPID,145,344,6.72,450,29.8,68.3,14.8,23.16,2.01,"c(243006.6671, 3591998.1641, 0)"
240473,37,37,D,37D,-83.73334868,32.43549584,0,1,46,CID,161,403,6.26,370,34.5,45.9,9.8,18.86,1.32,"c(243006.6671, 3591998.1641, 0)"
240474,38,38,D,38D,-83.73239195,32.43549254,0,1,40,SPID,156,384,5.63,328,19.2,44.3,14.98,19.81,3.88,"c(243096.6399, 3591995.495, 0)"
240475,38,38,D,38D,-83.73239195,32.43549254,0,1,40,CID,223,630,6.34,550,30.8,78,17.79,20.52,2.04,"c(243096.6399, 3591995.495, 0)"
240476,39,39,D,39D,-83.73143522,32.43548924,0,1,17,SPID,166,421,6.2,310,39.1,39.6,11.78,8.32,1.55,"c(243186.6127, 3591992.8258, 0)"
240477,39,39,D,39D,-83.73143522,32.43548924,0,1,17,CID,167,425,6.28,343,31.9,35.5,7.85,9.31,1.2,"c(243186.6127, 3591992.8258, 0)"
240478,40,40,D,40D,-83.73047849,32.43548593,0,1,25,SPID,217,608,6.47,432,51.1,85.5,13.63,12.65,1.11,"c(243276.5854, 3591990.1567, 0)"
240479,40,40,D,40D,-83.73047849,32.43548593,0,1,25,CID,206,568,5.82,351,44.9,48.3,17.27,12.51,2.1,"c(243276.5854, 3591990.1567, 0)"
240480,41,41,D,41D,-83.72952176,32.43548261,0,1,21,SPID,223,630,5.9,543,68.5,100.8,14.45,10.32,1.78,"c(243366.5581, 3591987.4876, 0)"
240481,41,41,D,41D,-83.72952176,32.43548261,0,1,21,CID,155,381,6.03,271,46.5,32.6,8.44,6.56,0.99,"c(243366.5581, 3591987.4876, 0)"
240482,42,42,D,42D,-83.72856503,32.43547929,0,1,50,SPID,249,726,5.83,484,45.6,114.3,16.89,25.17,1.77,"c(243456.5307, 3591984.8184, 0)"
240483,42,42,D,42D,-83.72856503,32.43547929,0,1,50,CID,228,649,5.7,301,47.6,40.4,15.03,20.94,1.61,"c(243456.5307, 3591984.8184, 0)"
