Point,Sample ID Lab,Horizon,Observational Method,Potential Series (in progress),To Depth (cm),H Depth(cm),Boundary (Bnd),Matrix Color,Clay,Sand,Silt,"Lab Texture (LPSA, preliminary)",Txt Rep?,Field Texture,Field Clay %,Structure,Consistence,Notes,Date Sampled,Depth to water table (if known),Taxonomy,Charcoal Present?,Depletions,Concentrations,htm,intermingle body,plinthitic,Buried,AB,AE,BA,BC,BE,textureimp?
31,250405,Bt2,Probe,Greenville,76-118,42,,2.5YR4/6,57.25,36.05,6.7,C,,,,2CoSBK,,VF root,4/16/2025,,,,,,,,,,,,,,,0
31,250406,Bt3,Auger,Greenville,118-150+,32,,2.5YR4/6,52.75,39.9,7.35,C,,,,2MSBK,,VF root,4/16/2025,,,,,,,,,,,,,,,0
32,250407,Ap,Probe,,0-10,10,C,10YR4/3,9.18,78.6,12.22,SL,,,,1MGr,,,4/16/2025,,,,,,,,,,,,,,,1
32,250408,BA,Probe,,20-Oct,10,C,7.5YR3/4,27.4,58.75,13.85,SCL,,,,2MSBK,,org stains,4/16/2025,,,,,,,,,,,,Yes,,,1
32,250409,Bt1,Probe,,20-47,27,Gr,7.5YR4/6,36.2,50.3,13.5,SC,,,,2MSBK,,Few org stains,4/16/2025,,,,,,,,,,,,,,,1
32,250410,Bt2,Probe/Auger,,47-112,65,C,7.5YR5/8,43.2,47,9.8,SC,Yes,,,1MSBK,,few charcoal,4/16/2025,,,Yes,,,,,,,,,,,,1
32,250411,Bt3,Auger,,112-150+,38,,10YR5/8,36.55,54.45,9,SC,,,,2MSBK,,,4/16/2025,,,,,,,,,,,,,,,1
33,250412,Ap,Probe,,0-22,22,Ab,10YR4/3,5.13,86.95,7.92,LS,,S,,1MGr,,,4/16/2025,,,,,,,,,,,,,,,1
33,250413,BA,Probe,,22-42,20,C,10YR4/6,20.6,66.7,12.7,SCL,,,,1MSBK,,org stains common,4/16/2025,,,,,,,,,,,,Yes,,,1
33,250414,Bt1,Probe,,42-77,35,Gr,7.5YR4/6,24.1,63.7,12.2,SCL,,,,2MSBK,,VF roots common,4/16/2025,,,,,,,,,,,,,,,1
33,250415,Bt2,Probe/Auger,,77-120,43,Gr,7.5YR5/8,43.1,49.1,7.8,SC,,,,2CoSBK,,VF roots common,4/16/2025,,,,,,,,,,,,,,,1
33,250416,Bt3,Auger,,120-154+,34,,10YR5/8,37.7,55,7.3,SC,,SCL,,2CoSBK,,,4/16/2025,,,,,,,,,,,,,,,1
35,250417,^Ap,Probe,,0-21,21,C,10YR4/4,5.8,90,4.2,S,,,,1MGr,,,4/17/2025,,,,,,Yes,,,,,,,,,1
35,250418,^C1,Probe,,21-70,49,,10YR3/4,13.9,68.4,17.7,SL,,,,SLSMA,,50% 10YR3/3. common charcoal,4/17/2025,,,Yes,,,Yes,,,,,,,,,1
35,250419,^C2,Probe,,70-95,25,,7.5YR4/6,6.48,90.6,2.92,S,,,,SLSSG,,,4/17/2025,,,,,,Yes,,,,,,,,,1
35,250420,Ab,Probe/Auger,,95-129,34,,2.5Y2/1,6.82,81.4,11.78,LS,,,,1MSBK,,50% 10YR3/2.,4/17/2025,,,,,,,,,Yes,,,,,,1
35,250421,Bwb,Auger,,129-145+,16,,10YR5/6,14.8,74.3,10.9,SL,,,,2MSBK,,"50% 10YR5/4. org stains, mystery horizon?",4/17/2025,135 cm,,,,,,,,Yes,,,,,,1
36,250422,Ap,Probe,Orangeburg,0-25,25,C,10YR3/3,7.15,84.9,7.95,LS,,,,1MGr,,F/VF roots,4/17/2025,,,,,,,,,,,,,,,1
36,250423,BA,Probe,Orangeburg,25-39,14,C,5YR4/4,23.1,67.2,9.7,SCL,,,,1CoSBK,,F/VF roots,4/17/2025,,,,,,,,,,,,Yes,,,1
