Point,Sample ID Lab,Horizon,Observational Method,Potential Series (in progress),To Depth (cm),H Depth(cm),Boundary (Bnd),Matrix Color,Clay,Sand,Silt,"Lab Texture (LPSA, preliminary)",Txt Rep?,Field Texture,Field Clay %,Structure,Consistence,Notes,Date Sampled,Depth to water table (if known),Taxonomy,Charcoal Present?,Depletions,Concentrations,htm,intermingle body,plinthitic,Buried,AB,AE,BA,BC,BE,textureimp?
P1,230045,Ap,Auger,Lucy?,0-30,30,,10YR4/2,6.965,83.2,9.835,LS,,LS,,,,POSSIBLE FILL,5/15/2023,,,,,,,,,,,,,,,0
P1,230046,,Auger,Lucy?,30-70,40,,7.5YR4/6,59.75,33.6,6.65,C ,,SCL,,,,"Kaolin common, concentrations",5/15/2023,,,,,Yes,,,,,,,,,,0
P1,230047,,Auger,Lucy?,70-88,18,,10YR3/2,28.85,62.15,9,SCL,,SL,18,,,Kaolin few concentrations,5/15/2023,,,,,Yes,,,,,,,,,,0
P1,230048,,Auger,Lucy?,88-129,41,,10YR4/6,54.15,37.6,8.25,C,,SC,45,,,Kaolin few concentrations. Charcoal present,5/15/2023,,,Yes,,Yes,,,,,,,,,,0
P1,230049,,Auger,Lucy?,129-145,16,,2.5Y3/2,8.52,82.9,8.58,LS,,LS,8,,,Charcoal present,5/15/2023,,,Yes,,,,,,,,,,,,0
P1,230050,,Auger,Lucy?,145-168+,23,,10YR5/4,54.05,37.4,8.55,C,,SCL,,,,Kaolin few concentrations. Charcoal present,5/15/2023,,,Yes,,Yes,,,,,,,,,,0
P2,230051,Ap,Auger,Orangeburg,0-22,22,,10YR4/3,4.825,87.05,8.125,LS,,LS,,1MGr,,,5/15/2023,,,,,,,,,,,,,,,0
P2,230052,BA,Auger,Orangeburg,22-39,17,,10YR4/6,17.05,69.95,13,SL,,SL,17,1MSBK,,,5/15/2023,,,,,,,,,,,,Yes,,,0
P2,230053,Bt3,Auger,Orangeburg,162-191+,29,,10YR6/8,23.35,69.2,7.45,SCL,,SL,15,2MSBK,,clay films,5/15/2023,,,,,,,,,,,,,,,0
P2,230054,Bt1,Auger,Orangeburg,39-96,57,,7.5YR5/8,22.6,64.75,12.65,SCL,,SL,18,2MSBK,,Few organic stains,5/15/2023,,,,,,,,,,,,,,,0
P2,230055,Bt2,Auger,Orangeburg,96-162,66,,5YR5/8,29.85,62.1,8.05,SCL,,SCL,22,2MSBK,,clay films,5/15/2023,,,,,,,,,,,,,,,0
P3,230056,Ap,Auger,Greenville,0-28,28,,10YR4/3,5.395,85.8,8.805,LS,,LS,,1MGr,,,5/15/2023,,,,,,,,,,,,,,,0
P3,230057,Bt4,Auger,Greenville,170-188+,18,,2.5YR4/6,67.7,28,4.3,C ,,CL,28,1MSBK,,clay films,5/15/2023,,,,,,,,,,,,,,,0
P3,230058,Bt2,Auger,Greenville,52-100,48,,2.5YR4/6,64.3,29.05,6.65,C ,,CL,32,2MSBK,,clay films,5/15/2023,,,,,,,,,,,,,,,0
P3,230059,Bt1,Auger,Greenville,28-52,24,,2.5YR3/6,45.2,43.9,10.9,C ,,L,,1MSBK,,few organic stains. clay films,5/15/2023,,,,,,,,,,,,,,,0
P3,230060,Bt3,Auger,Greenville,100-170,70,,2.5YR4/6,66.25,28.5,5.25,C ,,CL,35,2MSBK,,clay films,5/15/2023,,,,,,,,,,,,,,,0
P4,230061,BA,Auger,Orangeburg,32-61,29,,5YR5/8,31.65,57.85,10.5,SCL,,SL,15,2MSBK,,,5/15/2023,,,,,,,,,,,,Yes,,,0
P4,230062,Bt1,Auger,Orangeburg,61-98,37,,2.5YR4/8,33.15,57.15,9.7,SCL,,SL,16,2MSBK,,clay films,5/15/2023,,,,,,,,,,,,,,,0
P4,230063,Bt3,Auger,Orangeburg,135-159,24,,5YR5/8,31.9,61.7,6.4,SCL,,SL,14,1MSBK,,clay films,5/15/2023,,,,,,,,,,,,,,,0
P4,230064,Bt4,Auger,Orangeburg,159-188,29,,7.5YR5/8,31.3,62.15,6.55,SCL,,SL,10,1MSBK,,clay films,5/15/2023,,,,,,,,,,,,,,,0
P4,230065,Bt2,Auger,Orangeburg,98-135,37,,5YR4/8,40.9,48.2,10.9,SC,Yes,SCL,21,2MSBK,,clay films,5/15/2023,,,,,,,,,,,,,,,0
P4,230066,Ap,Auger,Orangeburg,0-32,32,,10YR4/4,6.445,84.45,9.105,LS,Yes,LS,,1MGr,,,5/15/2023,,,,,,,,,,,,,,,0
29,240314,Bt2,Auger,Greenville,69-127,58,,2.5YR3/6,66.7,28.7,4.6,C,,SCL,,2MSBK,,Charcoal,5/2/2024,,,Yes,,,,,,,,,,,,0
29,240311,Ap1,Auger,Greenville,0-20,20,,5YR 4/4,5.5,86.2,8.3,LS,,,,1MGr,,,5/2/2024,,Typic Kanhapludult?,,,,,,,,,,,,,0
29,240312,Ap2,Auger,Greenville,20-34,14,,5YR 4/4,15.7,74.2,10.1,SL,,,,1FSBK,,,5/2/2024,,,,,,,,,,,,,,,0
29,240313,Bt1,Auger,Greenville,34-69,35,,5YR4/6,23.75,65.3,10.95,SCL,,,,1MSBK,,Charcoal,5/2/2024,,,Yes,,,,,,,,,,,,0
29,240315,Bt3,Auger,Greenville,127-166+,39,,2.5YR3/6,53.3,41.1,5.6,C,,SL,,1MSBK,,Charcoal,5/2/2024,,,Yes,,,,,,,,,,,,0
30,240316,Ap1,Auger,Greenville,0-11,11,,7.5YR3/4,5.37,86.5,8.13,LS,,,,1MGr,,,5/2/2024,,,,,,,,,,,,,,,1
30,240317,Ap2,Auger,Greenville,21-Nov,10,,7.5YR4/3,7.77,83.25,8.98,LS,,,,1MGr,,,5/2/2024,,,,,,,,,,,,,,,1
30,240318,Bt1,Auger,Greenville,21-48,27,,5YR3/4,38.8,51.25,9.95,SC,,,,2MSBK,,,5/2/2024,,,,,,,,,,,,,,,1
30,240319,Bt2,Auger,Greenville,48-72,24,,2.5YR4/8,40.45,50.2,9.35,SC,,,,2MSBK,,,5/2/2024,,,,,,,,,,,,,,,1
30,240320,Bt3,Auger,Greenville,72-110,38,,2.5YR3/6,66.5,28.95,4.55,C,,SCL,24%,2MSBK,,,5/2/2024,,,,,,,,,,,,,,,0
30,240321,Bt4,Auger,Greenville,110-167+,57,,2.5YR3/6,69.15,27.05,3.8,C,,SL,18%,2MSBK,,,5/2/2024,,,,,,,,,,,,,,,0
40,240322,Ap,Auger,Greenville,0-13,13,,5YR4/6,28.55,62.9,8.55,SCL,,,,1FSBK,,,5/2/2024,,,,,,,,,,,,,,,0
40,240323,BA,Auger,Greenville,13-30,17,,2.5YR3/6,65.65,29.05,5.3,C ,,,,2MSBK,,Organic staining; few charcoal present,5/2/2024,,,Yes,,,,,,,,,Yes,,,0
40,240324,Bt1,Auger,Greenville,30-70,40,,2.5YR3/6,74.4,22.15,3.45,C ,,,,2MSBK,,,5/2/2024,,,,,,,,,,,,,,,0
40,240325,Bt2,Auger,Greenville,70-127,57,,10R4/6,73.35,23.7,2.95,C ,,,,2MSBK,,,5/2/2024,,,,,,,,,,,,,,,0
40,240326,Bt3,Auger,Greenville,127-156+,29,,10R4/6,73.85,23.75,2.4,C ,,,,2MSBK,,,5/29/2024,,,,,,,,,,,,,,,0
61,240327,Ap,Auger,Greenville,0-30,30,,7.5YR3/3,7.045,83.5,9.455,LS,,,,1MGr,,,5/2/2024,,,,,,,,,,,,,,,0
61,240328,BA,Auger,Greenville,30-55,25,,2.5YR3/4,47.75,43.8,8.45,C ,,,,2MSBK,,,5/2/2024,,,,,,,,,,,,Yes,,,0
61,240329,Bt1,Auger,Greenville,55-115,60,,2.5YR4/6,51.75,40.9,7.35,C ,,,,2MSBK,,,5/2/2024,,,,,,,,,,,,,,,0
61,240330,Bt2,Auger,Greenville,115-162+,47,,2.5YR3/6,59.7,35.7,4.6,C ,,,,1MSBK,,,5/2/2024,,,,,,,,,,,,,,,0
68,240331,Ap1,Auger,Greenville,0-16,16,A,7.5YR3/3,5.4,85.85,8.75,LS,,,,1FGr,,,5/2/2024,,,,,,,,,,,,,,,0
68,240332,Ap2,Auger,Greenville,16-33,17,C,7.5YR3/4,8.08,80.85,11.07,LS,,,,1MGr,,,5/2/2024,,,,,,,,,,,,,,,0
68,240333,Bt1,Auger,Greenville,33-77,44,,2.5YR3/6,47.45,42.95,9.6,C ,,,,2MSBK,,,5/2/2024,,,,,,,,,,,,,,,0
68,240334,Bt2,Auger,Greenville,77-118,41,,2.5YR3/6,75.35,21.2,3.45,C ,,CL,,2MSBK,,Clay increase,5/2/2024,,,,,,,,,,,,,,,0
68,240335,Bt3,Auger,Greenville,118-156+,38,,2.5YR3/6,80,17.5,2.5,C ,,L/SL,,2MSBK,,,5/2/2024,,,,,,,,,,,,,,,0
69,240336,Ap,Auger,Greenville,0-18,18,,10YR3/4,5.85,84.45,9.7,LS,,,,1FGr,,,5/2/2024,,,,,,,,,,,,,,,0
69,240337,AB,Auger,Greenville,18-30,12,,5YR3/4,18.3,69.55,12.15,SL,,,,1MSBK,,organic staining,5/2/2024,,,,,,,,,,Yes,,,,,0
69,240338,BA,Auger,Greenville,30-60,30,,5YR4/6,46.45,42.95,10.6,C ,,,,2MSBK,,organic staining; few yellow concretions at 5YR5/8,5/2/2024,,,,,Yes,,,,,,,Yes,,,0
69,240339,Bt1,Auger,Greenville,60-104,44,,2.5YR3/6,67.45,26.85,5.7,C ,,,,2MSBK,,,5/2/2024,,,,,,,,,,,,,,,0
69,240340,Bt2,Auger,Greenville,104-150+,46,,2.5YR3/6,78.25,18.8,2.95,C ,,,,2MSBK,,,5/2/2024,,,,,,,,,,,,,,,0
23,240341,Ap1,Auger,Dothan,0-18,18,A,10YR4/3,5.075,86.1,8.825,LS,,,,1FGr,VFR,,5/29/2024,,,,,,,,,,,,,,,0
23,240342,Ap2,Auger,Dothan,18-32,14,C,10YR4/3,4.955,86.95,8.095,LS,,,,1MSBK,VFR,,5/29/2024,,,,,,,,,,,,,,,0
23,240343,Bt1,Auger,Dothan,32-65,33,C,10YR5/6,22.25,65.5,12.25,SCL,,,,2MSBK,FR,,5/29/2024,,,,,,,,,,,,,,,0
23,240344,Bt2,Auger,Dothan,65-100,35,C,10YR5/6,21.8,67.65,10.55,SCL,,SCL,,2MSBK,FR,3% 7.5YR 5/8 concentration (small/fine). Few pieces of uncoated sand grain (1-2 cm in length).,5/29/2024,,,,,Yes,,,,,,,,,,0
23,240345,Btv,Auger,Dothan,100-159+,49,,10YR5/6,19.45,71.3,9.25,SL,,SCL,,2MSBK,FR,1% 5YR 5/8 concentraation (fine). ~2% 7.5YR 4/6 plinthite nodules,5/29/2024,,,,,Yes,,,Yes,,,,,,,0
34,240346,Ap1,Auger,Bonneau,0-11,11,A,10YR4/2,5.99,82.25,11.76,LS,,,,1FGr,VFR,,5/29/2024,,,,,,,,,,,,,,,1
34,240347,Ap2,Auger,Bonneau,Nov-34,23,A,10YR5/3,5.48,86.6,7.92,LS,,,,1MGr,VFR,,5/29/2024,,,,,,,,,,,,,,,1
34,240348,Bt1,Auger,Bonneau,34-60,26,C,10YR5/6,23.2,62.25,14.55,SCL,,,,2MSBK,FR,2% 7.5YR 5/8,5/29/2024,,,,,,,,,,,,,,,1
34,240349,Bt2,Auger,Bonneau,60-100,40,C,2.5Y5/6,9.245,79.2,11.555,SL,,,,2MSBK,FR,Hit water table. 10YR4/6 soft iron mass accumulations. 2% 2.5Y7/2 depletions.,5/29/2024,60 cm,,,Yes,Yes,,,,,,,,,,1
34,240350,Btv1,Auger,Bonneau,100-127,27,C,2.5Y6/4,8.075,81.65,10.275,LS,,,,2MSBK,FR,10YR4/6 plinthite. 2.5Y5/6 concentrations. 2.5Y6/2 depletions,5/29/2024,,,,Yes,Yes,,,Yes,,,,,,,1
34,240351,Btv2,Auger,Bonneau,127-151+,24,,2.5Y6/4,8.465,82.3,9.235,LS,,,,2MSBK,FR,2.5Y5/6 concentrations. 5Y7/1 depletions. 10YR4/6 plinthite.,5/29/2024,,,,Yes,Yes,,,Yes,,,,,,,1
44,240352,Ap1,Auger,Bonneau,0-27,27,,10YR4/2,5.32,85.1,9.58,LS,,,,1MGr,,,5/29/2024,,,,,,,,,,,,,,,0
44,240353,A/E,Auger,Bonneau,27-46,19,,10YR4/2,5.895,83.2,10.905,LS,,,,1MSBK,,mixed color; not redox,5/29/2024,,,,,,,Yes,,,,,,,,0
44,240354,E,Auger,Bonneau,46-63,17,,2.5Y6/4,6.355,83.1,10.545,LS,,,,1MSBK,,,5/29/2024,,,,,,,,,,,,,,,0
44,240355,Bt,Auger,Bonneau,63-94,31,,10YR6/4,7.245,82.35,10.405,LS,,,,2MSBK,,redox: 10YR5/8 concentrations at 3%. 2.5Y6/3 depletions at 2%,5/29/2024,81 cm,,,Yes,Yes,,,,,,,,,,0
53,240358,Ap1,Auger,Lucy,0-26,26,A,10YR3/3,6.25,82.9,10.85,LS,,SL,5,1FGr,VFR,,5/29/2024,,,,,,,,,,,,,,,0
53,240359,Ap2,Auger,Lucy,26-48,22,C,10YR4/4,10.75,78.1,11.15,SL,,SL,5,1MGr,VFR,,5/29/2024,,,,,,,,,,,,,,,0
53,240360,Bt1,Auger,Lucy,48-83,35,C,7.5YR4/6,16.6,73.4,10,SL,,SL,12,1MSBK,VFR,,5/29/2024,,,,,,,,,,,,,,,0
53,240361,Bt2,Auger,Lucy,83-115,32,C,2.5YR4/6,23.2,67.55,9.25,SCL,,SL,16,1MSBK,FR,,5/29/2024,,,,,,,,,,,,,,,0
53,240362,Bt3,Auger,Lucy,115-159+,44,,2.5YR3/6,54.55,41.15,4.3,C ,,SCL,24,2MSBK,FR,,5/29/2024,,,,,,,,,,,,,,,0
54,240363,Ap1,Auger,Lucy,0-18,18,C,10YR4/4,5.15,86.3,8.55,LS,,LS,,1FGr,L,,5/29/2024,,,,,,,,,,,,,,,0
54,240364,Ap2,Auger,Lucy,18-36,18,C,7.5YR4/4,10.05,79.2,10.75,SL,,SL,,1FSBK,VFR,,5/29/2024,,,,,,,,,,,,,,,0
54,240365,Bt2,Auger,Lucy,88-153+,65,,2.5YR4/8,60.15,34.05,5.8,C ,,SCL,,2MSBK,FR,,5/29/2024,,,,,,,,,,,,,,,0
54,240366,Bt1,Auger,Lucy,36-88,52,C,2.5YR4/6,58.55,33.9,7.55,C ,,SCL,,2MSBK,FR,,5/29/2024,,,,,,,,,,,,,,,0
62,240367,Ap,Auger,Greenville,0-26,26,A,10YR4/4,5.2,86.65,8.15,LS,,SL,6,1FGr,VFR,10%  10YR 5/6 bodies,5/29/2024,,,,,Yes,,,,,,,,,,0
62,240368,Bt1,Auger,Greenville,26-51,25,C,2.5YR4/6,41.1,48.75,10.15,SC,,SCL,22,2MSBK,FR,,5/29/2024,,,,,,,,,,,,,,,0
62,240369,Bt2,Auger,Greenville,51-109,58,C,2.5YR3/6,54.15,39,6.85,C ,,SCL,27,2MSBK,FR,,5/29/2024,,,,,,,,,,,,,,,0
62,240370,Bt3,Auger,Greenville,109-150+,41,,2.5YR3/6,68.15,28.25,3.6,C ,,C,32,2MSBK,FR,,5/29/2024,,,,,,,,,,,,,,,0
63,240373,Bt1,Auger,Faceville,45-116,71,G,2.5YR4/6,66.5,28.05,5.45,C ,,C,,2CSBK,FT,,5/29/2024,,,,,,,,,,,,,,,0
63,240371,Ap1,Auger,Faceville,0-26,26,C,10YR3/3,7.455,80.7,11.845,LS,,LS,,1FGr,FR,5% 5YR4/4 bodies,5/29/2024,,,,,Yes,,,,,,,,,,0
63,240374,Bt2,Auger,Faceville,116-152+,36,,2.5YR4/6,66.75,28.4,4.85,C ,,CL,,2MSBK,FR,,5/29/2024,,,,,,,,,,,,,,,0
63,240372,Ap2,Auger,Faceville,26-45,19,A,10YR3/3,7.51,79.95,12.54,LS,,SL,,1MSBK,FR,20% 10YR3/2 bodies,5/29/2024,,,,,,,,,,,,,,,0
55,250197,Ap,Auger,Greenville,0-35,35,A,7.5YR4/4,10.3,76.9,12.8,SL,,,,1MGr,,,5/20/2025,,,,,,,,,,,,,,,0
55,250198,Bt1,Auger,Greenville,35-55,20,C,5YR4/6,44,43.8,12.2,C,,,,2MSBK,,few charcoal,5/20/2025,,,Yes,,,,,,,,,,,,0
55,250199,Bt2,Auger,Greenville,55-100,45,Gr,2.5YR4/6,58.25,32.45,9.3,C,,,,2MSBK,,few charcoal fragments- large,5/20/2025,,,Yes,,,,,,,,,,,,0
55,250200,Bt3,Auger,Greenville,100-150+,50,,2.5YR3/6,76.85,19.2,3.95,C,,,,2MSBK,,few charcoal fragments. Mn present.,5/20/2025,,,Yes,,,,,,,,,,,,0
70,250201,Ap,Auger,Greenville,0-29,29,A,7.5YR4/3,8.89,77.4,13.71,SL,,,,1MGr,,,3/20/2025,,,,,,,,,,,,,,,0
70,250202,BA,Auger,Greenville,29-60,31,C,2.5YR4/6,53.4,35.6,11,C,,,,1MSBK,,few charcoal,3/20/2025,,,Yes,,,,,,,,,Yes,,,0
70,250203,Bt1,Auger,Greenville,60-115,55,Gr,2.5YR3/6,92.2,6.44,1.36,C,,,,2MSBK,,few charcoal,3/20/2025,,,Yes,,,,,,,,,,,,0
70,250204,Bt2,Auger,Greenville,115-150+,139,,2.5YR3/6,100,0,0,C,,,,2MSBK,,,3/20/2025,,,,,,,,,,,,,,,0
71,250205,Ap1,Auger,,0-33,33,A,10YR3/2,13,67.2,19.8,SL,,,,1MGr,,,3/20/2025,,,,,,,,,,,,,,,0
71,250206,BA,Auger,,33-44,11,C,7.5YR3/4,21.1,61.8,17.1,SCL,,,,1MGr,,,3/20/2025,,,,,,,,,,,,Yes,,,0
71,250207,Bt1,Auger,,44-71,27,C,5YR3/4,37.25,48.2,14.55,SC,,,,1MSBK,,common charcoal ,3/20/2025,,,Yes,,,,,,,,,,,,0
71,250208,Bt2,Auger,,71-110,39,Gr,2.5YR3/4,75.8,18.1,6.1,C,,,,2MSBK,,few charcoal,3/20/2025,,,Yes,,,,,,,,,,,,0
71,250209,Bt3,Auger,,110-150+,40,,2.5YR3/6,71.1,24.55,4.35,C,,,,2MSBK,,,3/20/2025,,,,,,,,,,,,,,,0
72,250210,Ap,Auger,,0-20,20,C,10YR3/4,16.5,73.5,10,SL,,,,1MGr,,,3/20/2025,,,,,,,,,,,,,,,0
72,250211,BA,Auger,,20-40,20,Gr,5YR4/6,45.95,43.9,10.15,C,,,,1MSBK,,"organic stains, Mn",3/20/2025,,,Yes,,,,,,,,,Yes,,,0
72,250212,Bt1,Auger,,40-78,38,Gr,2.5YR4/6,53.1,37.8,9.1,C,,,,2MSBK,,,3/20/2025,,,,,,,,,,,,,,,0
72,250213,Bt2,Auger,,78-150+,72,,2.5YR3/6,70.8,25.7,3.5,C,,,,2MSBK,,"sub-rounded quartz fragments, fine",3/20/2025,,,,,,,,,,,,,,,0
73,250214,^Ap,Auger,,0-15,15,C,7.5YR4/6,8.79,84.1,7.11,LS,,,,1MGr,,"peanut residue, charcoal",3/20/2025,,,Yes,,,Yes,,,,,,,,,1
73,250215,^C1,Auger,,15-43,28,C,5YR4/6,19.55,74.05,6.4,SL,,,,SLSMa,,FILL,3/20/2025,,,,,,Yes,,,,,,,,,1
73,250216,^C2,Auger,,43-84,41,Gr,5YR3/4,11.15,82.6,6.25,LS,,,,SLSMa,,FILL,3/20/2025,,,,,,Yes,,,,,,,,,1
73,250217,^C3,Auger,,84-125,41,A,7.5YR5/6,6.26,88.1,5.64,LS,,,,SLSMa,,organic matter throughout ,3/20/2025,,,,,,Yes,,,,,,,,,1
73,250218,2Bt,Auger,,125-150+,25,,2.5YR4/8,47.95,44.6,7.45,C,,,,2MSBK,,,3/20/2025,,,,,,,,,,,,,,,1
79,250219,Ap1,Auger,,0-28,28,C,10YR4/3,4.535,90.5,4.965,S,,,,1MGr,,,3/20/2025,,,,,,,,,,,,,,,0
79,250220,Ap2,Auger,,28-41,13,C,7.5YR4/4,9.54,84.1,6.36,LS,,,,1MSBK,,"organic stains, common yellow concentrations",3/20/2025,,,,,Yes,,,,,,,,,,0
79,250221,AE,Auger,,41-60,19,Gr,5YR4/6,14,79,7,SL,,,,1MSBK,,"organic stains, common yellow concentrations, 5YR5/8",3/20/2025,,,,,Yes,,,,,,Yes,,,,0
79,250222,BE,Auger,,60-102,42,Gr,5YR4/6,9.035,84.2,6.765,LS,,,,1MSBK,,few 5YR5/8,3/20/2025,,,,,Yes,,,,,,,,,Yes,0
79,250223,Bt1,Auger,,102-118,16,Gr,5YR4/6,21.4,72,6.6,SCL,,,,1MSBK,,roots present,3/20/2025,,,,,,,,,,,,,,,0
79,250224,Bt2,Auger,,118-150+,32,,2.5YR4/6,41.9,54.25,3.85,SC,,,,2MSBK,,,3/20/2025,,,,,,,,,,,,,,,0
80,250225,Ap1,Auger,,0-23,23,,10YR3/3,6.265,89.5,4.235,S,,,,1MGr,,,3/20/2025,,,,,,,,,,,,,,,0
80,250226,Ap2,Auger,,23-44,21,,10YR5/3,5.945,88.05,6.005,S,,,,1MGr,,,3/20/2025,,,,,,,,,,,,,,,0
80,250227,AE,Auger,,44-85,41,,10YR4/4,7.78,85.2,7.02,LS,,,,2MSBK,,"few depletions, organic staining, 5YR 5/3",3/20/2025,,,,Yes,,,,,,,Yes,,,,0
80,250228,BE,Auger,,85-135,50,,7.5YR5/6,7.055,86.05,6.895,LS,,LS,,1MSBK,,"common depletions, 7.5YR5/4",3/20/2025,,,,Yes,,,,,,,,,,Yes,0
80,250229,Bt,Auger,,135-150+,15,,5YR5/8,22.15,72.85,5,SCL,,SL,,1MSBK,,few depletions 7.5YR5/4,3/20/2025,,,,Yes,,,,,,,,,,,0
59,250230,^C,Auger,,0-50+,50,,2.5YR4/4,49.7,40.5,9.8,C,,,,2MSBK,,Fill. Did not go farther than 50 cm,5/20/2025,,,,,,Yes,,,,,,,,,0
57,250231,Ap,Auger,,0-25,25,C,10YR3/2,31.9,29.7,38.4,ClLo,,,,,,,5/20/2025,,,,,,,,,,,,,,,0
57,250232,BA,Auger,,25-45,20,C,2.5YR3/3,43.6,35.7,20.7,C,,,,,,,5/20/2025,,,,,,,,,,,,Yes,,,0
57,250233,Bt1,Auger,,45-81,36,C,2.5YR3/4,63.5,25.8,10.7,C,,,,,,"common charcoal fragments, large",5/20/2025,,,Yes,,,,,,,,,,,,0
57,250234,Bt2,Auger,,81-125,44,Gr,2.5YR3/6,94.8,4.84,0.36,C,,,,,,"common charcoal fragments, large",5/20/2025,,,Yes,,,,,,,,,,,,0
57,250235,Bt3,Auger,,125-150+,25,,2.5YR4/6,99,0.97,0.03,C,,,,,,"common charcoal fragments, large",5/20/2025,,,Yes,,,,,,,,,,,,0
56,250236,Ap,Auger,Greenville,0-32,32,C,7.5YR4/4,6.14,83.8,10.06,LS,,,,1MGr,L,,5/20/2025,,,,,,,,,,,,,,,0
56,250237,Bt1,Auger,Greenville,32-57,25,Gr,2.5YR4/6,54.3,36.05,9.65,C,,,,2MSBK,FR,few charcoal fragments and organic stains,5/20/2025,,,Yes,,,,,,,,,,,,0
56,250238,Bt2,Auger,Greenville,57-115,58,Gr,2.5YR4/6,99.5,0.5,0,C,,,,2MSBK,FR,,5/20/2025,,,,,,,,,,,,,,,0
56,250239,Bt3,Auger,Greenville,115-150+,35,,2.5YR4/6,99.6,0.37,0.03,C,,,,2MSBK,FR,,5/20/2025,,,,,,,,,,,,,,,0
66,250240,Ap,Auger,,0-35,35,Gr,10YR4/3,5.31,84.9,9.79,LS,,,,1MGr,,,5/29/2024,,,,,,,,,,,,,,,0
66,250241,Bt1,Auger,,35-62,27,C,5YR4/6,41,46,13,SC,,,,1MSBK,,organic stains,5/29/2024,,,,,,,,,,,,,,,0
66,250242,Bt2,Auger,,62-100,38,Gr,2.5YR4/8,67.4,24.7,7.9,C,,,,2MSBK,,"organic stains, rounded quartz",5/29/2024,,,,,,,,,,,,,,,0
66,250243,Bt3,Auger,,100-150,50,,2.5YR3/6,98.1,1.58,0.32,C,,,,2MSBK,,,5/29/2024,,,,,,,,,,,,,,,0
67,250244,Ap,Auger,Greenville,0-20,20,A,7.5YR4/4,7.8,82.4,9.8,LS,,,,1MGr,,,5/29/2024,,,,,,,,,,,,,,,0
67,250245,Bt1,Auger,Greenville,20-58,38,Gr,2.5YR4/6,62.3,28.2,9.5,C,,,,2MSBK,,"organic stains, charcoal few",5/29/2024,,,,,,,,,,,,,,,0
67,250246,Bt2,Auger,Greenville,58-106,48,Gr,2.5YR4/6,100,0,0,C,Yes,,,2MSBK,,charcoal few,5/29/2024,,,Yes,,,,,,,,,,,,0
67,250247,Bt3,Auger,Greenville,106-150+,44,,2.5YR3/6,100,0,0,C,Yes,,,2MSBK,,,5/29/2024,,,,,,,,,,,,,,,0
64,250248,Ap1,Auger,Greenville,0-30,30,C,7.5YR3/3,5.89,83.9,10.21,LS,,,,1MGr,,,5/29/2024,,,,,,,,,,,,,,,0
64,250249,Ap2,Auger,Greenville,30-41,11,A,5YR3/4,17.2,68.3,14.5,SL,,,,1MGr,,long organic stains from roots,5/29/2024,,,,,,,,,,,,,,,0
64,250250,BA,Auger,Greenville,41-61,20,Gr,2.5YR4/6,67.6,24,8.4,C,,,,2MSBK,,"common orgainic stains, few rounded quartz",5/29/2024,,,,,,,,,,,,Yes,,,0
64,250251,Bt1,Auger,Greenville,61-111,50,Gr,2.5YR3/6,100,0,0,C,,,,2MSBK,,organic stains,5/29/2024,,,,,,,,,,,,,,,0
64,250252,Bt2,Auger,Greenville,111-150+,39,,2.5YR3/6,100,0,0,C,,,,2MSBK,,,5/29/2024,,,,,,,,,,,,,,,0
75,250253,Ap1,Auger,Greenville,0-17,17,C,10YR3/4,6.52,81.2,12.28,LS,,LS,,1MGr,,,3/20/2025,,,,,,,,,,,,,,,0
75,250254,Ap2,Auger,Greenville,17-28,11,C,7.5YR4/3,6.69,81.2,12.11,LS,,Sl,,1MSBK,,,3/20/2025,,,,,,,,,,,,,,,0
75,250255,BA,Auger,Greenville,28-46,18,C,2.5YR4/6,41.833333,45.16667,13,SC,,SCL,,2MSBK,,"organic staining from roots, roots present",3/20/2025,,,,,,,,,,,,Yes,,,0
75,250256,Bt1,Auger,Greenville,46-75,29,C,2.5YR4/6,60.5,31.3,8.2,C,,SCL,,2MSBK,,,3/20/2025,,,,,,,,,,,,,,,0
75,250257,Bt2,Auger,Greenville,75-150+,75,,2.5YR3/6,78.2,18.3,3.5,C,,C,,2CoSBK,,possibly CL,3/20/2025,,,,,,,,,,,,,,,0
78,250258,Ap1,Auger,,0-17,17,C,10YR4/3,4.82,89.25,5.93,S,,,,1MGr,,,3/20/2025,,,,,,,,,,,,,,,0
78,250259,Ap2,Auger,,17-31,14,C,10YR4/3,5.226667,89.73333,5.04,S,,,,1MGr,,,3/20/2025,,,,,,,,,,,,,,,0
78,250260,AE,Auger,,31-60,29,C,7.5YR4/6,13.6,78.15,8.25,SL,,,,1MSBK,,,3/20/2025,,,,,,,,,,,Yes,,,,0
78,250261,E,Auger,,60-107,47,C,7.5YR5/8,8.73,83.1,8.17,LS,,,,1MSBK,,organic stains,3/20/2025,,,,,,,,,,,,,,,0
78,250262,Bt,Auger,,107-150+,43,,5YR5/6,30.5,62,7.5,SCL,,,,1MSBK,,"few depletions along root channels, <1% charcoal",3/20/2025,,,Yes,Yes,,,,,,,,,,,0
76,250263,Ap1,Auger,Greenville,0-20,20,C,7.5YR4/3,6.86,80.8,12.34,LS,,,,1MGr,L,,3/20/2025,,,,,,,,,,,,,,,0
76,250264,Ap2,Auger,Greenville,20-33,13,C,7.5YR4/3,6.96,80.4,12.64,LS,,,,1MGr,L,,3/20/2025,,,,,,,,,,,,,,,0
